phone,email,credit_score,age_group,family_background,income,employment_type,property_type,loan_amount,down_payment,property_search_frequency,budget_tool_usage,listing_saves,email_clicks,whatsapp_interactions,time_to_purchase,emi_affordability,job_stability,intent_score,high_intent
+91-9746317213,lead0@example.com,607,26-35,Married with Kids,691901,Self-Employed,Villa,3580072,1336209,2,3,4,1,2,9,2.42,0.7,72,True
+91-7478163327,lead1@example.com,551,18-25,Married with Kids,319711,Salaried,Apartment,1692238,570024,2,0,6,6,1,2,2.36,2.5,59,False
+91-7107420369,lead2@example.com,605,26-35,Married with Kids,486944,Salaried,Apartment,3606600,775095,3,4,5,1,4,7,1.69,7.2,62,True
+91-8181241943,lead3@example.com,542,26-35,Married,633818,Salaried,Apartment,4136114,1577982,3,0,7,4,1,4,1.92,8.5,66,True
+91-8051802512,lead4@example.com,619,36-50,Single,840672,Salaried,Apartment,5054834,1964217,3,3,2,2,3,8,2.08,21.2,76,True
+91-7958682846,lead5@example.com,707,36-50,Single,873037,Self-Employed,Apartment,5768440,1257854,3,2,5,1,1,31,1.89,6.3,75,True
+91-7599310825,lead6@example.com,625,26-35,Married with Kids,658877,Business Owner,Villa,3478417,1319861,4,4,3,0,1,1,2.37,6.4,71,True
+91-7440213415,lead7@example.com,661,26-35,Married with Kids,732510,Salaried,Apartment,5528748,1832904,2,1,8,2,5,0,1.66,13.2,82,True
+91-9906402157,lead8@example.com,515,26-35,Married with Kids,412256,Freelancer,Plot,3113942,820163,4,0,8,5,6,2,1.65,0.3,60,True
+91-9342331444,lead9@example.com,587,26-35,Married,608187,Salaried,Villa,3272766,996389,3,0,8,1,0,26,2.32,9.0,53,False
+91-7373399426,lead10@example.com,564,36-50,Married,947665,Salaried,Apartment,6769918,2247880,5,1,2,0,0,15,1.75,6.1,46,False
+91-9536146025,lead11@example.com,691,26-35,Married,594047,Salaried,Apartment,4102064,857580,5,0,4,2,5,0,1.81,0.5,67,True
+91-8812140441,lead12@example.com,568,18-25,Single,413099,Self-Employed,Apartment,2094338,760022,1,5,7,5,5,0,2.47,7.1,75,True
+91-7136505587,lead13@example.com,568,51+,Married with Kids,1077381,Salaried,Villa,6449196,2157279,3,1,5,2,2,10,2.09,6.1,67,True
+91-7127978094,lead14@example.com,554,18-25,Single,286174,Freelancer,Apartment,2244105,891359,2,4,1,1,1,12,1.59,4.1,38,False
+91-7402418010,lead15@example.com,644,26-35,Married,913330,Business Owner,Apartment,7287371,1565030,6,2,6,2,4,2,1.57,13.4,88,True
+91-7939042955,lead16@example.com,746,36-50,Single,1052947,Business Owner,Plot,8211080,3064480,0,0,9,1,1,20,1.6,65.4,59,False
+91-7999270936,lead17@example.com,632,36-50,Married with Kids,1360570,Business Owner,Apartment,10697014,3436254,3,0,9,0,4,0,1.59,3.5,68,True
+91-9170484433,lead18@example.com,503,26-35,Married,620013,Salaried,Commercial,4557693,1273002,5,1,5,0,1,1,1.7,5.1,54,False
+91-9585650756,lead19@example.com,612,36-50,Married,889341,Self-Employed,Apartment,4918976,1071060,2,2,3,2,3,1,2.26,1.4,70,True
+91-7113971123,lead20@example.com,569,26-35,Married with Kids,685140,Salaried,Apartment,5265727,1592016,2,1,2,1,1,13,1.63,4.5,44,False
+91-9410529190,lead21@example.com,594,26-35,Single,665363,Salaried,Villa,3581478,919563,3,3,2,1,2,8,2.32,2.6,66,True
+91-7854001193,lead22@example.com,688,51+,Single,1247464,Salaried,Commercial,7202498,1686663,5,1,3,2,2,0,2.16,2.1,82,True
+91-9791232393,lead23@example.com,562,36-50,Married with Kids,1014037,Salaried,Apartment,7897921,2891617,4,0,6,1,4,10,1.6,2.9,61,True
+91-9340505846,lead24@example.com,595,26-35,Married,441974,Salaried,Villa,3402641,941777,3,3,7,1,5,14,1.62,0.7,58,False
+91-8801823908,lead25@example.com,652,18-25,Single,333321,Self-Employed,Villa,2209314,553123,3,3,3,6,6,1,1.89,12.6,79,True
+91-7946785248,lead26@example.com,768,36-50,Single,1921205,Business Owner,Plot,11905726,2511540,2,1,6,1,2,29,2.02,3.6,86,True
+91-8929338154,lead27@example.com,572,18-25,Married with Kids,356328,Salaried,Commercial,1872878,747980,2,3,2,1,4,4,2.38,0.8,50,False
+91-9530876844,lead28@example.com,586,26-35,Married with Kids,1024983,Business Owner,Apartment,6381755,1308752,3,1,2,2,1,1,2.01,10.2,69,True
+91-8194819984,lead29@example.com,529,26-35,Married with Kids,625275,Salaried,Apartment,4800875,1745063,2,2,6,4,0,1,1.63,3.9,70,True
+91-7027911967,lead30@example.com,657,36-50,Married,902765,Salaried,Plot,4978783,1266908,0,1,6,1,4,19,2.27,2.7,73,True
+91-7685731524,lead31@example.com,500,18-25,Single,217816,Self-Employed,Apartment,1343468,346263,3,4,2,0,4,0,2.03,3.9,61,True
+91-9998485882,lead32@example.com,641,26-35,Married with Kids,649973,Salaried,Apartment,4604472,1171511,2,1,10,1,2,7,1.76,13.0,54,False
+91-8815115025,lead33@example.com,661,51+,Single,1133580,Self-Employed,Apartment,8599485,3172435,2,2,4,2,4,0,1.65,6.1,86,True
+91-8461364854,lead34@example.com,551,18-25,Married with Kids,361158,Salaried,Commercial,2241275,663361,7,0,4,0,4,17,2.01,7.7,47,False
+91-8193448329,lead35@example.com,685,36-50,Married with Kids,776162,Salaried,Villa,5074599,1249031,1,2,6,2,2,4,1.91,4.5,78,True
+91-7667779376,lead36@example.com,702,26-35,Single,981524,Business Owner,Apartment,6529664,1419531,2,2,4,3,5,22,1.88,16.2,81,True
+91-7924765563,lead37@example.com,658,36-50,Married with Kids,1171309,Self-Employed,Plot,7034130,2452812,4,3,5,3,4,2,2.08,3.7,99,True
+91-8445662585,lead38@example.com,596,18-25,Married,272053,Salaried,Villa,1979134,405559,0,2,6,2,2,2,1.72,15.1,46,False
+91-7438989805,lead39@example.com,711,51+,Married,1164729,Self-Employed,Apartment,6627154,1607886,0,3,8,0,4,1,2.2,3.5,85,True
+91-7398340369,lead40@example.com,622,26-35,Single,440859,Salaried,Apartment,3259132,854128,1,0,7,1,2,8,1.69,4.8,40,False
+91-8631775357,lead41@example.com,575,18-25,Married,389081,Salaried,Apartment,2037126,569141,3,1,3,1,7,18,2.39,4.0,45,False
+91-7415393687,lead42@example.com,661,36-50,Married,1013486,Self-Employed,Villa,5250928,1309689,2,2,9,1,0,2,2.41,1.9,83,True
+91-8541804686,lead43@example.com,660,36-50,Married,997079,Salaried,Apartment,6297400,2172927,4,2,6,2,4,5,1.98,2.2,95,True
+91-8477278577,lead44@example.com,555,26-35,Single,680729,Salaried,Commercial,4067745,1442807,3,0,5,2,1,15,2.09,5.5,55,False
+91-9592983555,lead45@example.com,666,36-50,Married,1329857,Business Owner,Apartment,6877039,2105982,1,0,4,3,6,1,2.42,0.2,81,True
+91-8136108454,lead46@example.com,699,26-35,Married with Kids,537623,Salaried,Villa,4088315,962511,8,3,6,5,5,9,1.64,2.9,92,True
+91-7186618211,lead47@example.com,690,26-35,Single,612557,Salaried,Apartment,3776830,1094294,2,0,8,1,5,15,2.03,15.6,61,True
+91-8973214822,lead48@example.com,598,18-25,Single,287365,Salaried,Villa,2236022,474156,2,1,6,1,1,13,1.61,1.0,44,False
+91-9303082117,lead49@example.com,650,18-25,Married,311114,Salaried,Commercial,2069120,431789,6,4,6,3,3,0,1.88,5.1,79,True
+91-7536124280,lead50@example.com,767,36-50,Married,886757,Salaried,Apartment,7061567,1605009,6,0,4,2,2,5,1.57,0.4,82,True
+91-8625792787,lead51@example.com,571,26-35,Married with Kids,804164,Self-Employed,Villa,5635957,2247776,4,2,4,4,2,29,1.78,7.9,60,True
+91-7338444264,lead52@example.com,596,26-35,Married with Kids,619204,Salaried,Villa,3333267,1217354,2,1,4,2,5,16,2.32,0.6,54,False
+91-9370996465,lead53@example.com,685,36-50,Married with Kids,1612418,Business Owner,Plot,10011408,2349726,5,5,4,0,4,2,2.01,5.6,97,True
+91-8259191105,lead54@example.com,701,26-35,Single,903690,Self-Employed,Apartment,4930600,1046618,2,1,4,1,1,8,2.29,17.1,74,True
+91-9699987374,lead55@example.com,553,26-35,Married with Kids,719064,Salaried,Apartment,4388651,1241224,3,2,4,0,5,4,2.05,3.0,66,True
+91-9656522106,lead56@example.com,614,36-50,Single,1075232,Salaried,Apartment,6911654,1901932,6,2,5,3,3,13,1.94,0.2,73,True
+91-8553210608,lead57@example.com,537,18-25,Single,277258,Salaried,Commercial,1632946,440798,3,0,3,0,5,1,2.12,4.8,56,False
+91-9479708607,lead58@example.com,751,36-50,Married with Kids,1118342,Salaried,Apartment,8101520,2935618,2,2,5,2,5,8,1.73,3.1,88,True
+91-7825873196,lead59@example.com,671,36-50,Married with Kids,1010231,Salaried,Villa,7529616,1827454,6,5,1,3,3,7,1.68,4.8,87,True
+91-7298737106,lead60@example.com,549,26-35,Married,546017,Self-Employed,Villa,2973972,776566,7,2,5,1,6,13,2.29,2.1,75,True
+91-7196814233,lead61@example.com,608,36-50,Married with Kids,802610,Salaried,Apartment,5058095,1101249,6,2,6,1,0,10,1.98,1.6,64,True
+91-9840104345,lead62@example.com,645,26-35,Married,1054944,Business Owner,Apartment,7939302,1883363,3,0,7,3,1,2,1.66,2.3,67,True
+91-7978815630,lead63@example.com,612,26-35,Married with Kids,636736,Salaried,Plot,3247891,690276,3,2,6,3,4,2,2.45,0.6,71,True
+91-8242911821,lead64@example.com,753,26-35,Single,701750,Salaried,Plot,3750367,1395241,1,2,7,2,3,18,2.34,1.1,69,True
+91-7342703921,lead65@example.com,586,26-35,Married with Kids,548956,Salaried,Apartment,3487914,1384694,1,0,6,3,4,9,1.97,2.5,57,False
+91-7999829240,lead66@example.com,708,51+,Married,1071290,Salaried,Villa,8111312,3092264,2,1,5,6,3,1,1.65,0.1,91,True
+91-7433797840,lead67@example.com,695,36-50,Married with Kids,1288434,Salaried,Villa,9608101,2960820,4,3,4,1,4,11,1.68,3.2,81,True
+91-8632629719,lead68@example.com,637,51+,Married with Kids,1438934,Salaried,Villa,7495301,1761218,3,3,2,6,3,3,2.4,3.1,84,True
+91-8193887545,lead69@example.com,609,26-35,Married with Kids,710059,Salaried,Apartment,5378720,1390096,3,4,4,1,3,2,1.65,6.8,69,True
+91-8947382419,lead70@example.com,612,18-25,Married with Kids,517685,Business Owner,Villa,2876254,620677,2,4,3,5,3,5,2.25,17.8,87,True
